序号	所属市	区县名称	"行政区域土地面积
(平方公里)（中国区域统计年鉴）"	市辖区与非市辖区面积（中国区域统计年鉴）	市级土地面积(平方公里)（中国区域统计年鉴）	市级土地面积（中国城市统计年鉴）	年末常住人口(万人) (湖南统计年鉴)	年末常住人口(万人) (湖南统计年鉴)	"年底总人口
(万人)（中国区域统计年鉴）"	"地区生产总值
(万元)（湖南省统计年鉴）"	"地区生产总值
(万元)（湖南省统计年鉴）"	用于计算人均GDP的人口数（万人）	用于计算人均GDP的人口数（万人）	人均GDP（湖南省统计年鉴)	人均GDP（湖南省统计年鉴)	地区生产总值(万元)（中国区域统计年鉴）	第一产业（湖南省统计年鉴）	第一产业（湖南省统计年鉴）	第一产业（中国区域统计年鉴）	第二产业（湖南统计年鉴）	第二产业（湖南统计年鉴）	第二产业（中国区域统计年鉴）	工业（湖南统计年鉴）	工业（湖南统计年鉴）	工业（中国区域统计年鉴）	第三产业（湖南统计年鉴）	第三产业（湖南统计年鉴）	第三产业（中国区域统计年鉴 	人均GDP（湖南省统计年鉴)	人均地区生产总值(元/人)（中国区域统计年鉴）
31	衡阳市	衡南县	2613				95.46 	95.46 	110.53	1539366 	1539366 	95.3404 	95.3404 	16146 	16146 	1539366	444576 	444576 	444576	702609 	702609 	702609	547222 	547222 	547222	392181 	392181 	392181	16146 	16146
32	衡阳市	衡山县	935				38.42 	38.42 	43.99	689316 	689316 	38.0207 	38.0207 	18130 	18130 	689316	164494 	164494 	164494	225754 	225754 	225754	197650 	197650 	197650	299068 	299068 	299068	18130 	18130
33	衡阳市	衡东县	1926				63.01 	63.01 	73.84	1239866 	1239866 	62.6796 	62.6796 	19781 	19781 	1239866	267503 	267503 	267503	476856 	476856 	476856	447957 	447957 	447957	495506 	495506 	495506	19781 	19781
34	衡阳市	祁东县	1871				97.98 	97.98 	105.93	1304546 	1304546 	92.2723 	92.2723 	14138 	14138 	1304546	411159 	411159 	411159	493859 	493859 	493859	474620 	474620 	474620	399528 	399528 	399528	14138 	14138
35	衡阳市	耒阳市	2656				115.15 	115.15 	141.60	2400821 	2400821 	112.5824 	112.5824 	21325 	21325 	2400821	421384 	421384 	421384	1067184 	1067184 	1067184	1046283 	1046283 	1046283	912253 	912253 	912253	21325 	21325
36	衡阳市	常宁市	2064				81.04 	81.04 	96.09	1431324 	1431324 	80.6880 	80.6880 	17739 	17739 	1431324	314596 	314596 	314596	613317 	613317 	613317	581306 	581306 	581306	503410 	503410 	503410	17739 	17739
37	邵阳市	双清区	436 	436 	20884	20830	30.80 	75.32 		672869 	3100847 	29.5702 	72.7500 	42623 	22755 		30913 	85830 		379030 	757823 		295469 	612587 		262926 	646071 		22755 	
38	邵阳市	大祥区					34.06 			650629 		32.9900 			19722 		37666 			280593 			227592 			332370 			19722 	
39	邵阳市	 北塔区					10.46 			166226 		10.1898 			16313 		17251 			98200 			89526 			50775 			16313 	
40	邵阳市	邵东县	1776	20448 			89.66 	89.66 	128.13	1611123 	1611123 	89.0615 	89.0615 	18090 	18090 	1611123	274151 	274151 	274151	753814 	753814 	753814	679232 	679232 	679232	583158 	583158 	583158	18090 	18090
41	邵阳市	新邵县	1763				74.31 	74.31 	80.40	590453 	590453 	75.4573 	75.4573 	7825 	7825 	590453	162054 	162054 	162054	227896 	227896 	227896	200719 	200719 	200719	200503 	200503 	200503	7825 	7825
42	邵阳市	邵阳县	1997				91.56 	91.56 	103.62	652602 	652602 	88.7652 	88.7652 	7352 	7352 	652602	182239 	182239 	182239	239632 	239632 	239632	202565 	202565 	202565	230731 	230731 	230731	7352 	7352
43	邵阳市	隆回县	2871				109.54 	109.54 	120.31	755376 	755376 	108.7811 	108.7811 	6944 	6944 	755376	211510 	211510 	211510	212445 	212445 	212445	160231 	160231 	160231	331421 	331421 	331421	6944 	6944
