序号	所属市	区县名称	"行政区域土地面积
(平方公里)（中国区域统计年鉴）"	市辖区与非市辖区面积（中国区域统计年鉴）	市级土地面积(平方公里)（中国区域统计年鉴）	市级土地面积（中国城市统计年鉴）	年末常住人口(万人) (湖南统计年鉴)	年末常住人口(万人) (湖南统计年鉴)	"年底总人口
(万人)（中国区域统计年鉴）"	"地区生产总值
(万元)（湖南省统计年鉴）"	"地区生产总值
(万元)（湖南省统计年鉴）"	用于计算人均GDP的人口数（万人）	用于计算人均GDP的人口数（万人）	人均GDP（湖南省统计年鉴)	人均GDP（湖南省统计年鉴)	地区生产总值(万元)（中国区域统计年鉴）	第一产业（湖南省统计年鉴）	第一产业（湖南省统计年鉴）	第一产业（中国区域统计年鉴）	第二产业（湖南统计年鉴）	第二产业（湖南统计年鉴）	第二产业（中国区域统计年鉴）	工业（湖南统计年鉴）	工业（湖南统计年鉴）	工业（中国区域统计年鉴）	第三产业（湖南统计年鉴）	第三产业（湖南统计年鉴）	第三产业（中国区域统计年鉴 	人均GDP（湖南省统计年鉴)	人均地区生产总值(元/人)（中国区域统计年鉴）
112	娄底市	洪江区	426 	426 	8117	8117	6.50 	56.17 		250960 	2324722 	6.7900 	56.6102 	41065 	36960 		8580 	76055 		199781 	1486456 		192587 	1356910 		42599 	762211 		36960 	
113	娄底市	娄星区					49.67 			2073762 		49.8201 			41625 		67475 			1286675 			1164323 			719612 			41625 	
114	娄底市	双峰县	1715	7691 			85.41 	85.41 	94.28	978463 	978463 	86.4367 	86.4367 	11320 	11320 	978463	334616 	334616 	334616	371661 	371661 	371661	328830 	328830 	328830	272186 	272186 	272186	11320 	11320
115	娄底市	新化县	3642				111.12 	111.12 	138.96	985134 	985134 	114.7907 	114.7907 	8582 	8582 	985134	285323 	285323 	285323	300551 	300551 	300551	213166 	213166 	213166	399260 	399260 	399260	8582 	8582
116	娄底市	冷水江市	439				32.71 	32.71 	36.53	1489442 	1489442 	34.3403 	34.3403 	43373 	43373 	1489442	52332 	52332 	52332	1040875 	1040875 	1040875	999251 	999251 	999251	396235 	396235 	396235	43373 	43373
117	娄底市	涟源市	1895				99.55 	99.55 	116.45	1238718 	1238718 	100.9632 	100.9632 	12269 	12269 	1238718	258251 	258251 	258251	584712 	584712 	584712	532378 	532378 	532378	395755 	395755 	395755	12269 	12269
118	湘西土家族苗族自治州	吉首市	1057	1056 	15487		30.21 	30.21 	29.04	713216 	713216 	28.8401 	28.8401 	24730 	24730 	713216	41414 	41414 	41414	242454 	242454 	242454	194800 	194800 	194800	429348 	429348 	429348	24730 	24730
119	湘西土家族苗族自治州	泸溪县	1566	14431 			27.54 	27.54 	30.68	371334 	371334 	27.4696 	27.4696 	13518 	13518 	371334	49819 	49819 	49819	227447 	227447 	227447	215278 	215278 	215278	94068 	94068 	94068	13518 	13518
120	湘西土家族苗族自治州	凤凰县	1759				34.68 	34.68 	40.09	343614 	343614 	35.0591 	35.0591 	9801 	9801 	343614	60167 	60167 	60167	57126 	57126 	57126	31487 	31487 	31487	226321 	226321 	226321	9801 	9801
121	湘西土家族苗族自治州	花垣县	1109				28.86 	28.86 	30.50	482955 	482955 	27.5706 	27.5706 	17517 	17517 	482955	41686 	41686 	41686	320796 	320796 	320796	306607 	306607 	306607	120473 	120473 	120473	17517 	17517
122	湘西土家族苗族自治州	保靖县	1758				27.82 	27.82 	30.07	331105 	331105 	27.8099 	27.8099 	11906 	11906 	331105	51305 	51305 	51305	176211 	176211 	176211	163138 	163138 	163138	103589 	103589 	103589	11906 	11906
123	湘西土家族苗族自治州	古丈县	1298				12.73 	12.73 	14.22	107002 	107002 	12.8903 	12.8903 	8301 	8301 	107002	23371 	23371 	23371	25282 	25282 	25282	16607 	16607 	16607	58349 	58349 	58349	8301 	8301
124	湘西土家族苗族自治州	永顺县	3810				42.96 	42.96 	53.05	308755 	308755 	43.7516 	43.7516 	7057 	7057 	308755	102541 	102541 	102541	73155 	73155 	73155	37961 	37961 	37961	133059 	133059 	133059	7057 	7057
125	湘西土家族苗族自治州	龙山县	3131				50.16 	50.16 	57.36	377382 	377382 	50.1571 	50.1571 	7524 	7524 	377382	123351 	123351 	123351	90184 	90184 	90184	55877 	55877 	55877	163847 	163847 	163847	7524 	7524
							注：南县含大通湖区数据。																							
